"LIBRARYREFERENCE","CATEGORY","COMMENT","COMPONENTLINK1DESCRIPTION","COMPONENTLINK1URL","DESCRIPTION","FREQUENCY","MANUFACTURER","MANUFACTURER PART NUMBER","PRICING 1","ROHS","STOCK 1","SUPPLIER 1","SUPPLIER PART NUMBER 1","SHEETPART","DESIGNATOR","DESCRIPTION"
"Component_1","","*","","","","","","","","","","","","*","*",""
"WRL-00691","RF Semiconductors and Devices","nRF24L01+","https://github.com/sparkfun/Transceiver_Breakout-nRF24L01/tree/V_1.3?src-supplier=Digi-Key","https://github.com/sparkfun/Transceiver_Breakout-nRF24L01/tree/V_1.3?src-supplier=Digi-Key","SPARKFUN TRANSCEIVER BREAKOUT -","2.4GHz","SparkFun","WRL-00691","1=20.95000 (USD)","No","59","Digi-Key","1568-1295-ND","*","J?","SPARKFUN TRANSCEIVER BREAKOUT -"
